Index,Class
0,False
1,False
2,False
3,False
4,False
5,False
6,True
7,True
8,True
9,False
10,False
11,True
12,True
13,False
14,False
15,False
16,True
17,True
18,False
19,True
20,False
21,False
22,True
23,False
24,True
25,True
26,True
27,False
28,True
29,True
30,True
31,False
32,True
33,False
34,False
35,True
36,False
37,False
38,True
39,False
40,True
41,False
42,True
43,False
44,True
45,True
46,False
47,False
48,True
49,False
50,False
51,True
52,False
53,True
54,True
55,True
56,True
57,True
58,True
59,False
60,True
61,True
62,False
63,False
64,True
65,True
66,True
67,False
68,False
69,False
70,False
71,True
72,False
73,True
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,True
85,False
86,False
87,False
88,True
89,True
90,True
91,True
92,False
93,True
94,True
95,True
96,False
97,True
98,False
99,True
100,False
101,True
102,False
103,True
104,False
105,True
106,False
107,True
108,False
109,False
110,False
111,False
112,False
113,True
114,True
115,False
116,True
117,False
118,False
119,False
120,True
121,False
122,False
123,False
124,True
125,True
126,True
127,True
128,False
129,False
130,True
131,False
132,True
133,True
134,False
135,True
136,False
137,True
138,True
139,False
140,True
141,False
142,True
143,False
144,True
145,False
146,True
147,False
148,False
149,False
150,True
151,True
152,False
153,True
154,True
155,True
156,False
157,False
158,False
159,True
160,True
161,False
162,True
163,False
164,True
165,False
166,True
167,True
168,True
169,False
170,False
171,True
172,True
173,False
174,False
175,True
176,True
177,False
178,True
179,False
180,False
181,True
182,False
183,True
184,False
185,True
186,False
187,False
188,True
189,True
190,True
191,True
192,False
193,True
194,True
195,True
196,False
197,False
198,True
199,False
200,False
201,False
202,True
203,True
204,True
205,False
206,False
207,True
208,True
209,True
210,True
211,True
212,True
213,False
214,False
215,False
216,False
217,False
218,False
219,False
220,False
221,True
222,True
223,False
224,True
225,True
226,True
227,False
228,False
229,False
230,True
231,False
232,False
233,False
234,True
235,False
236,True
237,True
238,True
239,False
240,False
241,False
242,True
243,False
244,False
245,False
246,False
247,False
248,False
249,True
250,True
251,True
252,True
253,True
254,True
255,True
256,True
257,True
